title/fr;description/fr;comments;url
Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;Impôts, dépenses, action publique;34;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/13
 Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique;63;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/14
Quelles sont les économies qui vous semblent prioritaires à faire ?;Impôts, dépenses, action publique;55;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/15
Faut-il supprimer certains services publics qui seraient dépassés ou trop chers par rapport à leur utilité ? ;Impôts, dépenses, action publique;28;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/16
Voyez-vous des besoins nouveaux de services publics et comment les financer ?;Impôts, dépenses, action publique;16;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/17
Comment mieux organiser notre pacte social ? Quels objectifs définir en priorité ?;Impôts, dépenses, action publique;14;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/18
Y a-t-il trop d’échelons administratifs ou de niveaux de collectivités locales ? ;Organisation de l’État et des collectivités publiques;10;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/19
Faut-il renforcer la décentralisation et donner plus de pouvoir de décision et d’action au plus près des citoyens ? À quels niveaux et pour quels services ?;Organisation de l’État et des collectivités publiques;4;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/20
Comment voudriez-vous que l’État soit organisé et comment peut-il améliorer son action ? ;Organisation de l’État et des collectivités publiques;6;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/21
Faut-il revoir le fonctionnement de l’administration et comment ?;Organisation de l’État et des collectivités publiques;5;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/22
Comment l’État et les collectivités locales peuvent-ils s’améliorer pour mieux répondre aux défis de nos territoires les plus en difficulté et que proposez-vous ?;Organisation de l’État et des collectivités publiques;5;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/23
Comment finance-t-on la transition écologique : par l’impôt, par les taxes et qui doit être concerné en priorité ?;Transition écologique;40;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/24
 Comment rend-on les solutions concrètes accessibles à tous, par exemple pour remplacer sa vieille chaudière ou sa vieille voiture ? Quelles sont les solutions les plus simples et les plus supportables sur un plan financier ?;Transition écologique;13;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/25
Quelles sont les solutions pour se déplacer, se loger, se chauffer, se nourrir qui doivent être conçues plutôt au niveau local que national ? ;Transition écologique;21;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/26
Quelles propositions concrètes feriez-vous pour accélérer notre transition environnementale ?;Transition écologique;28;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/27
Comment devons-nous garantir scientifiquement les choix que nous devons faire pour la transition écologique ? ;Transition écologique;15;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/28
Comment faire partager ces choix à l’échelon européen et international pour que nos agriculteurs et nos industriels ne soient pas pénalisés par rapport à leurs concurrents étrangers ?;Transition écologique;29;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/29
Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté;75;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/30
Faut-il rendre le vote obligatoire ?;Démocratie et citoyenneté;31;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/31
Quelle est la bonne dose de proportionnelle aux élections législatives pour une représentation plus juste de tous les projets politiques ?;Démocratie et citoyenneté;21;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/32
Faut-il, et dans quelles proportions, limiter le nombre de parlementaires ou autres catégories d’élus ?;Démocratie et citoyenneté;15;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/33
Quel rôle nos assemblées, dont le Sénat et le Conseil Économique, Social et Environnemental, doivent-elles jouer pour représenter nos territoires et la société civile ? Faut-il les transformer et comment ?;Démocratie et citoyenneté;8;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/34
Quelles évolutions souhaitez-vous pour rendre la participation citoyenne plus active, la démocratie plus participative ?;Démocratie et citoyenneté;22;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/35
Faut-il associer davantage et directement des citoyens non élus, par exemple tirés au sort, à la décision publique ?;Démocratie et citoyenneté;48;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/36
Faut-il accroître le recours aux référendums et qui doit en avoir l’initiative ?;Démocratie et citoyenneté;29;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/37
Que proposez-vous pour améliorer l’intégration dans notre Nation ? ;Démocratie et citoyenneté;24;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/38
En matière d’immigration, une fois nos obligations d’asile remplies, souhaitez-vous que nous puissions nous fixer des objectifs annuels définis par le Parlement ?  Que proposez-vous afin de répondre à ce défi qui va durer ?;Démocratie et citoyenneté;12;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/39
Comment renforcer les principes de la laïcité française, dans le rapport entre l’État et les religions de notre pays ? ;Démocratie et citoyenneté;14;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/40
Comment garantir le respect par tous de la compréhension réciproque et des valeurs intangibles de la République ?;Démocratie et citoyenneté;8;http://participation.lillemetropole.fr/processes/granddebatmel/f/112/debates/41
;;;
;;;
;;;
Impôts, dépenses, action publique;210;;
Organisation de l’État et des collectivités publiques;30;;
Transition écologique;146;;
Démocratie et citoyenneté;307;;
